borough_y,sale_price,yearbuilt,lotarea,bldgarea,resarea,comarea,unitsres,unitstotal,numfloors,latitude,longitude,landuse,bldgclass,building_age
SI,4600000,1930.0,4366.0,1848.0,1848.0,0.0,1.0,1.0,2.5,40.6204602,-74.1357977,1.0,A2,95.0
QN,4137238,1955.0,10600.0,1875.0,0.0,1875.0,0.0,1.0,1.0,40.7503004,-73.951933,7.0,G2,70.0
SI,4232500,2002.0,1044.0,1200.0,1200.0,0.0,1.0,1.0,2.0,40.6173762,-74.082644,1.0,A5,23.0
SI,8400000,2024.0,2500.0,1484.0,1484.0,0.0,1.0,1.0,2.0,40.639815,-74.0861777,1.0,A1,1.0
QN,6196500,1952.0,114356.0,71024.0,0.0,4524.0,0.0,1.0,1.0,40.7390113,-73.9456911,6.0,E9,73.0
QN,3500000,1931.0,2500.0,2500.0,0.0,2500.0,0.0,1.0,1.0,40.7474925,-73.9456301,6.0,E1,94.0
QN,4500000,1959.0,13010.0,8845.0,0.0,8845.0,0.0,1.0,1.0,40.7377257,-73.9286745,6.0,E1,66.0
QN,7600000,1926.0,20000.0,20000.0,0.0,10000.0,0.0,1.0,1.0,40.7457172,-73.9311778,6.0,E9,99.0
SI,3915000,1986.0,3800.0,1806.0,1806.0,0.0,1.0,1.0,3.0,40.6263153,-74.1125088,1.0,A5,39.0
BK,2750000,2001.0,2000.0,3520.0,2480.0,0.0,2.0,2.0,3.0,40.6819028,-74.0031115,1.0,B9,24.0
QN,7100000,1935.0,5000.0,5000.0,0.0,800.0,0.0,2.0,1.0,40.7510263,-73.937344,6.0,E9,90.0
QN,7500000,1929.0,17000.0,17000.0,0.0,17000.0,0.0,1.0,1.0,40.7521697,-73.9459727,6.0,E1,96.0
QN,1800000,1989.0,2425.0,4220.0,0.0,4220.0,0.0,2.0,2.0,40.7571995,-73.9431893,6.0,E2,36.0
QN,1020000,1925.0,2000.0,1312.0,1312.0,0.0,1.0,1.0,2.0,40.7342919,-73.920177,1.0,A5,100.0
QN,871000,1945.0,2042.0,1120.0,1120.0,0.0,1.0,1.0,2.0,40.7370141,-73.904946,1.0,A5,80.0
BK,507000,1910.0,1582.0,4215.0,3520.0,695.0,4.0,4.0,4.0,40.7150979,-73.9560743,2.0,C3,115.0
BK,810000,1910.0,2500.0,4125.0,4125.0,0.0,5.0,5.0,3.0,40.7149605,-73.9556235,2.0,C2,115.0
QN,890000,1940.0,2000.0,1400.0,1400.0,0.0,1.0,1.0,2.0,40.7374254,-73.9011746,1.0,A5,85.0
QN,960000,1940.0,2000.0,1400.0,1400.0,0.0,1.0,1.0,2.0,40.7361439,-73.9015915,1.0,A5,85.0
QN,850000,1950.0,1800.0,1665.0,1332.0,0.0,1.0,1.0,2.0,40.7351092,-73.9016327,1.0,A5,75.0
QN,750000,1950.0,1800.0,1665.0,1332.0,0.0,1.0,1.0,2.0,40.7351092,-73.9016327,1.0,A5,75.0
QN,775000,1950.0,1728.0,1332.0,1332.0,0.0,1.0,1.0,2.0,40.7273121,-73.9024993,1.0,A5,75.0
QN,543750,1950.0,1800.0,1665.0,1332.0,0.0,1.0,1.0,2.0,40.7280664,-73.9018992,1.0,A5,75.0
QN,1085000,1945.0,2000.0,1424.0,1424.0,0.0,1.0,1.0,2.0,40.7275493,-73.9006156,1.0,A5,80.0
QN,870000,1945.0,2200.0,1983.0,1256.0,0.0,1.0,1.0,1.75,40.7299809,-73.9035273,1.0,A5,80.0
QN,950000,1940.0,1900.0,1216.0,1216.0,0.0,1.0,1.0,2.0,40.7309573,-73.9027249,1.0,A5,85.0
QN,900000,1945.0,2200.0,2041.0,1308.0,0.0,1.0,1.0,1.5,40.7302359,-73.9033176,1.0,A2,80.0
QN,940000,1930.0,3300.0,1504.0,1504.0,0.0,1.0,1.0,2.0,40.7309756,-73.9016171,1.0,A1,95.0
QN,790000,1935.0,3776.0,1640.0,1640.0,0.0,1.0,1.0,2.0,40.7297681,-73.9018967,1.0,A1,90.0
BK,799500,1910.0,3110.0,10523.0,10523.0,0.0,16.0,16.0,4.0,40.7151521,-73.9618459,2.0,C1,115.0
BK,1049000,1901.0,1798.0,3596.0,1798.0,1798.0,1.0,2.0,2.0,40.7147704,-73.9614421,4.0,S1,124.0
BK,970000,1900.0,1554.0,3150.0,2100.0,1050.0,2.0,3.0,3.0,40.7148281,-73.9615683,4.0,S2,125.0
QN,815000,1930.0,1800.0,1224.0,1224.0,0.0,1.0,1.0,2.0,40.7303315,-73.8995037,1.0,A5,95.0
QN,514500,1930.0,1800.0,1224.0,1224.0,0.0,1.0,1.0,2.0,40.7299555,-73.8995187,1.0,A5,95.0
QN,725000,1930.0,1800.0,1224.0,1224.0,0.0,1.0,1.0,2.0,40.7297578,-73.8995263,1.0,A5,95.0
